Department,Region_Employment,Education Level,NO_Trainings_LstYear,Age,previous_year_rating,Awards,Avg_Training_Score,Is Promoted
Sales & Marketing,2,Bachelor's,1,50.0,4.0,NO,46.0,NO
Operations,7,Master's & above,1,43.0,4.0,NO,70.0,YES
Procurement,11,Bachelor's,1,33.0,1.0,NO,65.0,NO
Operations,17,Bachelor's,1,31.0,4.0,NO,60.0,NO
Sales & Marketing,19,Bachelor's,1,32.0,4.0,NO,49.0,NO
Legal,2,Bachelor's,1,32.0,3.0,NO,59.0,NO
HR,7,Bachelor's,1,27.0,5.0,NO,87.0,YES
Technology,2,Bachelor's,3,37.0,4.0,NO,82.0,YES
Sales & Marketing,27,Bachelor's,4,29.0,3.0,NO,53.0,NO
Finance,27,Bachelor's,1,28.0,5.0,NO,57.0,NO
Analytics,32,Bachelor's,1,30.0,4.0,NO,84.0,NO
Legal,7,Bachelor's,1,29.0,3.0,NO,62.0,NO
Sales & Marketing,13,Bachelor's,1,31.0,4.0,NO,48.0,NO
Technology,9,Bachelor's,1,27.0,4.0,NO,78.0,NO
Legal,22,Bachelor's,1,31.0,3.0,NO,62.0,NO
Sales & Marketing,6,Bachelor's,1,27.0,3.0,NO,48.0,NO
Analytics,22,Bachelor's,2,31.0,5.0,NO,84.0,NO
Sales & Marketing,4,Master's & above,1,36.0,5.0,NO,50.0,NO
Sales & Marketing,11,Bachelor's,1,44.0,3.0,NO,55.0,NO
Analytics,17,Bachelor's,1,29.0,5.0,NO,81.0,NO
Operations,15,Master's & above,1,47.0,4.0,NO,59.0,NO
Operations,2,Bachelor's,1,47.0,4.0,NO,62.0,NO
Operations,26,Bachelor's,1,32.0,3.0,NO,60.0,NO
Sales & Marketing,2,Bachelor's,1,22.0,2.0,NO,52.0,NO
Sales & Marketing,17,Bachelor's,1,36.0,5.0,NO,55.0,NO
Sales & Marketing,30,Bachelor's,1,33.0,1.0,NO,51.0,NO
Analytics,24,Bachelor's,1,33.0,1.0,NO,82.0,NO
Sales & Marketing,32,Bachelor's,2,28.0,3.0,NO,52.0,NO
Sales & Marketing,15,Bachelor's,1,50.0,3.0,NO,46.0,NO
Analytics,8,Bachelor's,1,29.0,3.0,NO,89.0,NO
Sales & Marketing,14,Bachelor's,1,28.0,5.0,NO,50.0,NO
Sales & Marketing,9,Bachelor's,1,30.0,3.0,NO,50.0,NO
Operations,26,Master's & above,1,46.0,5.0,NO,60.0,NO
Finance,22,Bachelor's,1,28.0,3.0,NO,63.0,NO
Sales & Marketing,27,Master's & above,1,35.0,4.0,NO,48.0,NO
HR,2,Bachelor's,1,28.0,3.0,NO,48.0,NO
Sales & Marketing,15,Bachelor's,1,44.0,4.0,NO,50.0,NO
Sales & Marketing,2,Bachelor's,1,40.0,3.0,NO,60.0,NO
Finance,2,Master's & above,1,34.0,3.0,NO,53.0,NO
Procurement,14,Bachelor's,2,33.0,3.0,NO,70.0,NO
Operations,11,Bachelor's,1,27.0,2.0,NO,60.0,NO
Analytics,22,Master's & above,3,43.0,3.0,NO,85.0,NO
Analytics,31,Bachelor's,2,38.0,3.0,NO,80.0,NO
Procurement,2,Below Secondary,2,23.0,3.0,NO,69.0,NO
Operations,2,Master's & above,2,46.0,5.0,NO,60.0,NO
HR,2,Bachelor's,1,0.0,4.0,NO,52.0,NO
Sales & Marketing,7,Master's & above,1,47.0,3.0,NO,60.0,NO
Sales & Marketing,2,Bachelor's,1,56.0,3.0,NO,50.0,NO
Technology,23,Bachelor's,1,32.0,5.0,YES,76.0,NO
Sales & Marketing,22,Bachelor's,1,36.0,5.0,NO,51.0,NO
Technology,10,Master's & above,1,30.0,3.0,NO,84.0,NO
Sales & Marketing,11,Bachelor's,2,27.0,1.0,NO,47.0,NO
Operations,22,Master's & above,1,56.0,1.0,NO,60.0,NO
Analytics,31,Bachelor's,2,30.0,3.0,NO,84.0,NO
Sales & Marketing,7,Bachelor's,1,41.0,5.0,NO,54.0,NO
Analytics,23,Bachelor's,1,39.0,5.0,NO,84.0,NO
Operations,22,Bachelor's,2,29.0,3.0,NO,60.0,NO
Analytics,22,Bachelor's,2,29.0,3.0,NO,84.0,NO
Technology,7,Master's & above,1,35.0,3.0,NO,81.0,NO
Finance,22,Bachelor's,1,30.0,2.0,NO,60.0,NO
Finance,4,Bachelor's,1,32.0,5.0,NO,60.0,NO
Technology,26,Bachelor's,1,44.0,3.0,NO,79.0,NO
Sales & Marketing,2,Bachelor's,1,33.0,5.0,NO,50.0,YES
Operations,1,Bachelor's,1,29.0,1.0,NO,60.0,NO
Operations,31,Bachelor's,1,29.0,3.0,NO,60.0,NO
Technology,14,Bachelor's,1,33.0,1.0,NO,79.0,NO
Sales & Marketing,4,Bachelor's,1,32.0,3.0,NO,52.0,NO
Analytics,26,Master's & above,1,38.0,3.0,NO,89.0,NO
Sales & Marketing,2,Bachelor's,1,33.0,2.0,NO,48.0,NO
Sales & Marketing,2,Bachelor's,2,22.0,3.0,NO,47.0,NO
Sales & Marketing,28,Bachelor's,1,29.0,5.0,NO,47.0,NO
Procurement,7,Bachelor's,4,35.0,3.0,NO,64.0,NO
Operations,22,Bachelor's,1,26.0,3.0,NO,60.0,NO
Sales & Marketing,28,Bachelor's,1,41.0,3.0,NO,52.0,NO
Operations,8,Bachelor's,1,27.0,4.0,NO,64.0,NO
Operations,19,Bachelor's,1,30.0,3.0,NO,60.0,NO
Sales & Marketing,22,Bachelor's,1,38.0,3.0,NO,48.0,NO
Analytics,15,Master's & above,1,31.0,1.0,NO,86.0,NO
Technology,2,Bachelor's,1,53.0,3.0,NO,76.0,NO
Sales & Marketing,22,Bachelor's,1,32.0,5.0,NO,50.0,NO
Sales & Marketing,26,Bachelor's,1,41.0,1.0,NO,51.0,NO
Sales & Marketing,28,Bachelor's,1,27.0,4.0,NO,48.0,NO
Operations,26,Bachelor's,1,30.0,5.0,NO,60.0,NO
Analytics,28,Bachelor's,3,29.0,3.0,NO,86.0,NO
Procurement,13,Master's & above,1,31.0,3.0,NO,70.0,NO
Technology,2,Master's & above,2,36.0,3.0,NO,78.0,NO
Technology,26,Bachelor's,1,30.0,4.0,NO,76.0,NO
Sales & Marketing,9,Bachelor's,1,30.0,4.0,NO,47.0,NO
Sales & Marketing,15,Bachelor's,1,50.0,3.0,NO,46.0,NO
Operations,23,Bachelor's,1,29.0,4.0,YES,58.0,NO
Analytics,5,Bachelor's,1,30.0,3.0,NO,87.0,NO
Sales & Marketing,28,Bachelor's,1,38.0,5.0,NO,60.0,NO
Technology,21,Bachelor's,1,33.0,5.0,NO,78.0,NO
Operations,19,Master's & above,1,35.0,5.0,NO,59.0,NO
HR,27,Bachelor's,1,34.0,2.0,NO,50.0,NO
Technology,29,Bachelor's,1,31.0,5.0,NO,76.0,NO
Sales & Marketing,5,Bachelor's,1,32.0,3.0,NO,48.0,NO
Procurement,31,Bachelor's,1,28.0,2.0,NO,75.0,NO
HR,2,Master's & above,1,32.0,4.0,NO,52.0,NO
HR,2,Master's & above,2,50.0,3.0,NO,49.0,NO
Operations,31,Bachelor's,1,30.0,3.0,NO,64.0,NO
HR,2,Master's & above,1,56.0,4.0,NO,50.0,NO
Sales & Marketing,16,Bachelor's,1,35.0,1.0,NO,46.0,NO
Finance,20,Bachelor's,1,30.0,3.0,NO,58.0,NO
Technology,5,Bachelor's,1,29.0,3.0,NO,77.0,NO
Sales & Marketing,14,Bachelor's,2,27.0,3.0,NO,51.0,NO
Analytics,22,Bachelor's,2,30.0,5.0,NO,87.0,NO
Technology,2,Master's & above,1,53.0,3.0,NO,78.0,NO
Sales & Marketing,16,Bachelor's,1,24.0,5.0,NO,48.0,YES
Sales & Marketing,31,Bachelor's,1,33.0,3.0,NO,44.0,NO
Procurement,8,Bachelor's,1,32.0,3.0,NO,68.0,NO
Sales & Marketing,15,Bachelor's,1,33.0,5.0,NO,53.0,NO
Sales & Marketing,21,Bachelor's,1,28.0,1.0,NO,51.0,NO
Sales & Marketing,7,Master's & above,1,41.0,4.0,NO,48.0,NO
Sales & Marketing,26,Bachelor's,1,37.0,5.0,NO,48.0,NO
Technology,22,Master's & above,2,34.0,3.0,NO,74.0,NO
Sales & Marketing,2,Bachelor's,1,60.0,3.0,NO,51.0,NO
Operations,29,Bachelor's,1,36.0,4.0,NO,63.0,NO
Procurement,29,Master's & above,1,48.0,4.0,NO,67.0,NO
Technology,6,Bachelor's,1,35.0,1.0,NO,80.0,NO
Operations,16,Bachelor's,1,42.0,5.0,NO,59.0,NO
Sales & Marketing,14,Bachelor's,1,31.0,4.0,NO,54.0,NO
Operations,16,Bachelor's,1,32.0,5.0,NO,60.0,NO
Finance,4,Bachelor's,1,25.0,3.0,NO,59.0,NO
Operations,2,Master's & above,1,45.0,3.0,NO,57.0,NO
Legal,2,Below Secondary,1,24.0,5.0,NO,56.0,NO
Sales & Marketing,3,Bachelor's,1,31.0,1.0,NO,60.0,NO
Sales & Marketing,30,Bachelor's,1,28.0,1.0,NO,48.0,NO
Technology,14,Bachelor's,1,37.0,3.0,NO,79.0,NO
Sales & Marketing,6,Bachelor's,1,39.0,3.0,NO,52.0,NO
Procurement,2,Master's & above,1,49.0,3.0,NO,75.0,NO
Technology,16,Bachelor's,1,29.0,3.0,NO,78.0,NO
Operations,6,Bachelor's,1,35.0,3.0,NO,57.0,NO
Sales & Marketing,16,Bachelor's,1,36.0,1.0,NO,50.0,NO
Sales & Marketing,17,Bachelor's,1,34.0,1.0,NO,51.0,NO
Analytics,15,Bachelor's,1,29.0,3.0,NO,89.0,NO
Operations,22,Master's & above,1,35.0,1.0,NO,58.0,NO
Sales & Marketing,2,Master's & above,2,33.0,4.0,NO,52.0,NO
Operations,15,Master's & above,1,54.0,5.0,NO,62.0,NO
Operations,22,Master's & above,1,49.0,2.0,NO,59.0,NO
R&D,7,Bachelor's,1,29.0,5.0,NO,82.0,NO
Technology,15,Bachelor's,1,26.0,4.0,NO,81.0,NO
Sales & Marketing,26,Master's & above,1,35.0,3.0,NO,49.0,NO
Technology,5,Bachelor's,1,34.0,3.0,NO,82.0,NO
Operations,11,Bachelor's,1,40.0,5.0,NO,58.0,NO
Legal,3,Bachelor's,1,30.0,3.0,NO,57.0,NO
Sales & Marketing,2,Bachelor's,4,29.0,3.0,NO,46.0,NO
HR,2,Bachelor's,1,42.0,3.0,NO,48.0,NO
Finance,32,Bachelor's,1,31.0,4.0,NO,63.0,NO
Sales & Marketing,2,Bachelor's,2,32.0,3.0,NO,47.0,NO
Sales & Marketing,20,Master's & above,1,40.0,3.0,NO,49.0,NO
Sales & Marketing,9,Bachelor's,1,26.0,2.0,NO,50.0,NO
Sales & Marketing,7,Master's & above,1,36.0,5.0,NO,54.0,NO
Sales & Marketing,2,Bachelor's,1,50.0,3.0,NO,51.0,NO
Operations,1,Bachelor's,1,27.0,5.0,NO,62.0,NO
Technology,13,Bachelor's,1,52.0,3.0,NO,80.0,NO
Sales & Marketing,15,Bachelor's,1,30.0,2.0,NO,52.0,NO
Sales & Marketing,31,Bachelor's,1,34.0,4.0,NO,47.0,NO
Operations,7,Below Secondary,1,23.0,4.0,NO,59.0,NO
Procurement,15,Master's & above,4,37.0,3.0,NO,71.0,NO
Sales & Marketing,22,Bachelor's,2,31.0,1.0,NO,47.0,NO
Operations,31,Bachelor's,1,32.0,4.0,NO,57.0,NO
Procurement,2,Master's & above,1,39.0,3.0,NO,68.0,NO
Sales & Marketing,23,Bachelor's,1,31.0,2.0,NO,47.0,NO
Legal,7,Master's & above,1,33.0,5.0,NO,58.0,NO
Analytics,22,Bachelor's,2,28.0,4.0,NO,88.0,YES
Legal,19,Bachelor's,1,31.0,5.0,NO,59.0,NO
Sales & Marketing,2,Bachelor's,1,25.0,3.0,NO,47.0,NO
Sales & Marketing,2,Bachelor's,1,48.0,3.0,NO,50.0,NO
Procurement,7,Bachelor's,1,38.0,2.0,NO,74.0,NO
Procurement,26,Bachelor's,1,38.0,4.0,NO,67.0,NO
Sales & Marketing,32,Bachelor's,1,29.0,3.0,NO,53.0,NO
Procurement,11,Master's & above,1,38.0,3.0,NO,66.0,NO
Finance,32,Bachelor's,1,35.0,5.0,NO,60.0,NO
Sales & Marketing,2,Master's & above,1,35.0,4.0,NO,53.0,NO
Sales & Marketing,11,Bachelor's,1,35.0,2.0,NO,52.0,NO
Technology,5,Bachelor's,1,23.0,3.0,NO,77.0,NO
Operations,27,Bachelor's,1,43.0,3.0,NO,65.0,NO
Sales & Marketing,2,Master's & above,1,35.0,1.0,NO,50.0,NO
Sales & Marketing,13,Bachelor's,1,38.0,1.0,NO,60.0,NO
Operations,2,Master's & above,1,56.0,1.0,NO,54.0,NO
HR,11,Bachelor's,1,29.0,3.0,NO,48.0,NO
Sales & Marketing,2,Master's & above,1,36.0,4.0,NO,49.0,NO
Analytics,21,Bachelor's,1,30.0,5.0,NO,82.0,NO
Technology,7,Bachelor's,1,42.0,5.0,NO,71.0,YES
Technology,23,Master's & above,1,33.0,2.0,NO,81.0,NO
Sales & Marketing,2,Bachelor's,1,56.0,5.0,NO,48.0,NO
Sales & Marketing,22,Bachelor's,1,28.0,4.0,NO,47.0,YES
Sales & Marketing,2,Bachelor's,3,30.0,3.0,NO,50.0,NO
Sales & Marketing,25,Bachelor's,2,31.0,1.0,NO,51.0,NO
Technology,15,Bachelor's,1,24.0,4.0,NO,77.0,NO
Procurement,21,Bachelor's,1,30.0,5.0,NO,70.0,NO
Operations,5,Bachelor's,1,31.0,5.0,NO,72.0,YES
Analytics,22,Bachelor's,1,29.0,1.0,NO,84.0,NO
Sales & Marketing,22,Master's & above,1,43.0,5.0,NO,52.0,NO
Sales & Marketing,2,Bachelor's,1,38.0,3.0,NO,50.0,NO
HR,2,Master's & above,1,36.0,3.0,NO,46.0,NO
Operations,22,Bachelor's,1,30.0,3.0,NO,60.0,NO
Sales & Marketing,9,Bachelor's,2,25.0,1.0,NO,47.0,NO
Procurement,2,Bachelor's,1,38.0,4.0,NO,65.0,NO
Operations,4,Bachelor's,1,30.0,3.0,NO,60.0,NO
Technology,2,Bachelor's,1,34.0,5.0,NO,79.0,NO
Analytics,1,Bachelor's,1,25.0,4.0,NO,86.0,NO
Procurement,2,Bachelor's,1,41.0,5.0,NO,87.0,YES
Technology,23,Bachelor's,1,35.0,4.0,NO,83.0,YES
Sales & Marketing,13,Bachelor's,1,52.0,3.0,NO,52.0,NO
Sales & Marketing,27,Bachelor's,1,38.0,5.0,NO,49.0,NO
Operations,2,Bachelor's,1,55.0,3.0,NO,64.0,NO
Technology,2,Bachelor's,1,30.0,4.0,NO,80.0,NO
Sales & Marketing,31,Master's & above,1,33.0,4.0,NO,50.0,NO
Sales & Marketing,10,Master's & above,1,29.0,3.0,NO,51.0,NO
Operations,31,Bachelor's,1,32.0,3.0,NO,58.0,NO
Procurement,7,Bachelor's,2,32.0,3.0,NO,74.0,NO
Operations,27,Bachelor's,1,37.0,1.0,NO,55.0,NO
Sales & Marketing,7,Master's & above,1,46.0,1.0,NO,48.0,NO
Technology,2,Master's & above,4,54.0,3.0,NO,79.0,NO
Procurement,17,Master's & above,1,37.0,3.0,NO,71.0,NO
Analytics,2,Bachelor's,1,32.0,1.0,NO,83.0,NO
Technology,1,Master's & above,1,30.0,2.0,NO,75.0,NO
Operations,28,Bachelor's,1,33.0,3.0,NO,60.0,NO
Operations,7,Master's & above,1,36.0,5.0,NO,59.0,NO
Legal,2,Master's & above,1,45.0,1.0,NO,59.0,NO
Procurement,17,Master's & above,1,43.0,3.0,NO,69.0,NO
Sales & Marketing,5,Bachelor's,1,26.0,1.0,NO,53.0,NO
Procurement,17,Master's & above,1,38.0,3.0,NO,69.0,NO
Sales & Marketing,2,Bachelor's,1,37.0,4.0,NO,46.0,YES
Technology,2,Bachelor's,2,28.0,3.0,NO,81.0,NO
Sales & Marketing,28,Bachelor's,1,28.0,4.0,NO,50.0,NO
Operations,2,Below Secondary,1,25.0,3.0,NO,55.0,NO
R&D,22,Master's & above,2,36.0,4.0,NO,85.0,NO
Operations,31,Bachelor's,1,32.0,5.0,NO,53.0,NO
Finance,7,Master's & above,1,35.0,3.0,NO,60.0,NO
Legal,7,Bachelor's,1,35.0,1.0,NO,58.0,NO
Operations,31,Bachelor's,1,28.0,5.0,NO,63.0,NO
Procurement,4,Bachelor's,1,28.0,3.0,NO,68.0,NO
Procurement,13,Bachelor's,1,29.0,3.0,NO,65.0,NO
Operations,30,Bachelor's,1,32.0,5.0,NO,70.0,YES
Sales & Marketing,15,Bachelor's,1,29.0,5.0,NO,57.0,NO
Sales & Marketing,22,Bachelor's,1,30.0,3.0,NO,50.0,YES
Procurement,15,Master's & above,1,40.0,4.0,NO,68.0,NO
Operations,4,Bachelor's,1,33.0,4.0,NO,64.0,NO
Sales & Marketing,11,Bachelor's,1,29.0,4.0,NO,46.0,NO
Finance,7,Bachelor's,1,30.0,3.0,NO,59.0,NO
Sales & Marketing,2,Bachelor's,2,23.0,3.0,NO,51.0,NO
Analytics,31,Bachelor's,2,43.0,5.0,NO,83.0,NO
Operations,19,Bachelor's,1,33.0,5.0,NO,58.0,NO
Finance,22,Bachelor's,1,46.0,5.0,NO,60.0,NO
HR,32,Bachelor's,1,30.0,2.0,NO,56.0,NO
Analytics,26,Bachelor's,1,37.0,2.0,NO,84.0,NO
Sales & Marketing,25,Master's & above,1,0.0,5.0,NO,48.0,NO
Operations,10,Master's & above,1,35.0,5.0,NO,67.0,YES
Operations,12,Bachelor's,1,31.0,4.0,NO,62.0,NO
Technology,7,Master's & above,1,52.0,4.0,NO,77.0,NO
Sales & Marketing,4,Master's & above,1,34.0,3.0,NO,65.0,YES
Sales & Marketing,11,Bachelor's,1,29.0,3.0,NO,48.0,NO
Procurement,13,Bachelor's,1,32.0,3.0,NO,72.0,NO
Sales & Marketing,22,Bachelor's,1,26.0,4.0,NO,51.0,NO
Sales & Marketing,28,Master's & above,1,37.0,5.0,YES,47.0,NO
Sales & Marketing,32,Bachelor's,1,30.0,4.0,NO,52.0,NO
Technology,16,Master's & above,1,40.0,4.0,NO,78.0,NO
Finance,26,Master's & above,1,35.0,1.0,NO,60.0,NO
Technology,26,Bachelor's,1,30.0,3.0,NO,77.0,NO
Technology,2,Bachelor's,1,38.0,4.0,NO,82.0,NO
HR,7,Bachelor's,1,34.0,3.0,NO,51.0,NO
Procurement,30,Bachelor's,1,35.0,3.0,NO,66.0,NO
Analytics,31,Bachelor's,1,29.0,5.0,NO,84.0,NO
Technology,2,Below Secondary,1,21.0,3.0,NO,77.0,NO
Technology,26,Bachelor's,1,28.0,3.0,NO,80.0,NO
Procurement,1,Bachelor's,1,29.0,3.0,NO,74.0,NO
Sales & Marketing,1,Master's & above,1,41.0,4.0,NO,58.0,YES
Technology,13,Bachelor's,1,41.0,5.0,NO,81.0,NO
Operations,15,Bachelor's,1,33.0,1.0,NO,57.0,NO
Technology,29,Master's & above,1,40.0,3.0,NO,82.0,NO
Sales & Marketing,25,Bachelor's,1,41.0,5.0,NO,48.0,NO
HR,2,Bachelor's,1,40.0,3.0,NO,48.0,NO
Procurement,2,Bachelor's,2,35.0,3.0,NO,64.0,NO
Sales & Marketing,2,Bachelor's,1,57.0,2.0,NO,54.0,NO
Operations,22,Master's & above,1,43.0,3.0,NO,58.0,NO
Analytics,22,Master's & above,1,50.0,4.0,NO,86.0,NO
Finance,22,Bachelor's,2,22.0,4.0,NO,59.0,NO
Sales & Marketing,29,Bachelor's,1,30.0,4.0,NO,49.0,NO
Sales & Marketing,4,Master's & above,1,36.0,5.0,NO,46.0,NO
Sales & Marketing,7,Master's & above,3,32.0,1.0,NO,49.0,NO
Operations,4,Bachelor's,1,35.0,5.0,NO,62.0,YES
Sales & Marketing,13,Bachelor's,1,28.0,4.0,NO,49.0,NO
Operations,29,Bachelor's,1,28.0,4.0,NO,56.0,NO
Sales & Marketing,22,Bachelor's,3,25.0,3.0,NO,54.0,NO
Technology,7,Master's & above,1,35.0,5.0,NO,83.0,YES
Sales & Marketing,32,Bachelor's,5,26.0,4.0,NO,46.0,NO
Analytics,30,Bachelor's,1,26.0,1.0,NO,83.0,NO
Sales & Marketing,13,Master's & above,3,31.0,4.0,NO,47.0,NO
Operations,2,Bachelor's,1,50.0,2.0,NO,60.0,NO
Technology,2,Bachelor's,1,38.0,5.0,NO,80.0,NO
Procurement,2,Master's & above,1,37.0,1.0,NO,72.0,NO
Sales & Marketing,22,Bachelor's,1,32.0,4.0,NO,50.0,NO
Sales & Marketing,7,Bachelor's,2,27.0,5.0,NO,47.0,NO
Operations,22,Master's & above,1,40.0,5.0,NO,59.0,NO
Operations,15,Bachelor's,1,34.0,3.0,NO,58.0,NO
Operations,13,Master's & above,1,44.0,3.0,NO,60.0,NO
HR,29,Bachelor's,1,28.0,5.0,NO,49.0,YES
Operations,4,Master's & above,1,43.0,1.0,NO,60.0,NO
Sales & Marketing,2,Master's & above,5,44.0,3.0,NO,52.0,NO
Operations,22,Bachelor's,1,45.0,3.0,NO,55.0,NO
Operations,15,Bachelor's,1,40.0,3.0,NO,60.0,NO
R&D,7,Master's & above,1,35.0,3.0,NO,80.0,NO
Sales & Marketing,2,Bachelor's,1,48.0,1.0,NO,54.0,NO
Operations,22,Master's & above,1,30.0,5.0,NO,74.0,YES
Procurement,2,Master's & above,1,48.0,3.0,NO,70.0,NO
Legal,22,Bachelor's,1,30.0,3.0,NO,59.0,NO
Sales & Marketing,32,Bachelor's,3,28.0,1.0,NO,49.0,NO
Sales & Marketing,25,Bachelor's,1,35.0,3.0,NO,51.0,NO
Analytics,2,Bachelor's,1,60.0,4.0,NO,81.0,NO
Sales & Marketing,2,Bachelor's,1,33.0,4.0,NO,50.0,NO
Procurement,26,Bachelor's,1,25.0,5.0,NO,72.0,NO
Sales & Marketing,13,Master's & above,1,50.0,4.0,NO,53.0,NO
Sales & Marketing,30,Master's & above,1,48.0,2.0,NO,54.0,NO
Sales & Marketing,21,Bachelor's,2,30.0,3.0,NO,48.0,NO
Sales & Marketing,27,Bachelor's,1,32.0,4.0,NO,53.0,NO
Sales & Marketing,13,Bachelor's,1,54.0,2.0,NO,49.0,NO
Operations,2,Bachelor's,1,49.0,3.0,NO,56.0,NO
Finance,15,Bachelor's,1,37.0,5.0,NO,62.0,NO
Operations,4,Bachelor's,1,38.0,3.0,NO,57.0,NO
Procurement,2,Master's & above,3,55.0,3.0,NO,67.0,NO
Operations,4,Bachelor's,1,26.0,5.0,NO,58.0,NO
Analytics,23,Master's & above,1,33.0,3.0,NO,90.0,NO
Sales & Marketing,15,Bachelor's,1,32.0,4.0,NO,51.0,NO
HR,17,Bachelor's,1,26.0,3.0,NO,47.0,NO
HR,10,Master's & above,1,30.0,5.0,NO,54.0,NO
Operations,23,Master's & above,1,34.0,2.0,NO,62.0,NO
Sales & Marketing,11,Bachelor's,1,27.0,3.0,NO,52.0,NO
Sales & Marketing,26,Bachelor's,1,37.0,1.0,NO,49.0,NO
Technology,5,Bachelor's,1,29.0,4.0,NO,80.0,NO
Sales & Marketing,11,Bachelor's,1,27.0,5.0,NO,51.0,NO
Procurement,7,Bachelor's,1,29.0,3.0,NO,65.0,NO
Analytics,7,Bachelor's,1,35.0,4.0,NO,85.0,NO
HR,2,Below Secondary,1,21.0,3.0,NO,53.0,NO
Procurement,22,Master's & above,1,33.0,2.0,NO,73.0,NO
Operations,1,Bachelor's,2,29.0,5.0,NO,56.0,NO
Procurement,13,Bachelor's,2,52.0,5.0,NO,67.0,NO
Sales & Marketing,2,Bachelor's,2,36.0,3.0,NO,47.0,NO
Technology,27,Bachelor's,1,29.0,1.0,NO,86.0,NO
Sales & Marketing,7,Master's & above,1,47.0,3.0,NO,51.0,NO
Operations,6,Bachelor's,1,25.0,4.0,NO,60.0,NO
Legal,22,Bachelor's,1,25.0,3.0,NO,59.0,NO
Sales & Marketing,7,Master's & above,1,39.0,3.0,NO,49.0,NO
Operations,22,Master's & above,1,46.0,4.0,NO,64.0,NO
Sales & Marketing,16,Bachelor's,4,40.0,3.0,NO,53.0,NO
Operations,22,Master's & above,1,33.0,3.0,NO,59.0,NO
Operations,2,Bachelor's,1,36.0,3.0,NO,60.0,NO
Sales & Marketing,11,Bachelor's,1,31.0,5.0,NO,52.0,NO
Operations,2,Bachelor's,1,36.0,5.0,YES,75.0,YES
Analytics,17,Bachelor's,1,37.0,3.0,NO,84.0,NO
Operations,15,Bachelor's,1,38.0,1.0,NO,63.0,NO
Operations,2,Bachelor's,2,32.0,3.0,NO,59.0,YES
Sales & Marketing,28,Master's & above,1,30.0,5.0,NO,49.0,NO
-,2,Bachelor's,3,28.0,4.0,NO,79.0,NO
HR,4,Bachelor's,1,29.0,5.0,NO,48.0,NO
Technology,25,Bachelor's,1,33.0,3.0,NO,82.0,NO
Sales & Marketing,15,Master's & above,1,35.0,5.0,NO,49.0,YES
HR,16,Master's & above,1,33.0,5.0,NO,47.0,NO
Technology,27,Bachelor's,1,27.0,5.0,NO,78.0,YES
Technology,9,Bachelor's,1,30.0,5.0,NO,81.0,YES
HR,2,Master's & above,1,41.0,4.0,NO,50.0,NO
Sales & Marketing,22,Master's & above,1,35.0,3.0,NO,50.0,NO
Analytics,20,Master's & above,1,36.0,3.0,NO,80.0,NO
Technology,13,Master's & above,3,36.0,3.0,NO,80.0,NO
Sales & Marketing,22,Bachelor's,2,28.0,3.0,NO,50.0,NO
Sales & Marketing,2,Master's & above,1,30.0,5.0,YES,53.0,YES
Operations,22,Bachelor's,1,42.0,3.0,NO,60.0,NO
Technology,13,Bachelor's,1,30.0,3.0,NO,81.0,NO
Operations,4,Bachelor's,1,33.0,5.0,NO,57.0,NO
Analytics,15,Bachelor's,2,32.0,3.0,NO,86.0,NO
HR,13,Bachelor's,1,28.0,4.0,NO,49.0,NO
Operations,2,Master's & above,1,33.0,5.0,NO,60.0,NO
Operations,2,Bachelor's,1,34.0,3.0,NO,60.0,NO
Operations,31,Master's & above,1,32.0,5.0,NO,57.0,NO
Technology,23,Master's & above,1,43.0,3.0,NO,80.0,NO
Finance,2,Master's & above,1,31.0,3.0,NO,60.0,NO
Sales & Marketing,23,Master's & above,1,36.0,3.0,NO,49.0,NO
Sales & Marketing,16,Bachelor's,1,48.0,4.0,NO,53.0,NO
Analytics,7,Bachelor's,1,29.0,4.0,NO,87.0,NO
Operations,2,Bachelor's,2,33.0,1.0,NO,60.0,NO
HR,2,Bachelor's,1,34.0,4.0,NO,51.0,NO
Technology,31,Bachelor's,2,32.0,3.0,NO,76.0,NO
Analytics,22,Master's & above,1,31.0,4.0,NO,86.0,NO
Sales & Marketing,31,Master's & above,1,36.0,4.0,NO,52.0,NO
Operations,11,Bachelor's,1,29.0,4.0,NO,59.0,NO
Sales & Marketing,32,Bachelor's,1,28.0,3.0,NO,51.0,NO
Technology,2,Master's & above,1,45.0,3.0,NO,77.0,NO
Procurement,2,Master's & above,1,33.0,3.0,NO,68.0,YES
Analytics,2,Bachelor's,1,29.0,1.0,NO,85.0,NO
Legal,22,Bachelor's,1,32.0,3.0,NO,56.0,NO
Operations,6,Bachelor's,1,28.0,3.0,NO,56.0,NO
HR,32,Bachelor's,1,30.0,4.0,NO,51.0,NO
Operations,26,Bachelor's,1,27.0,5.0,NO,55.0,NO
Procurement,7,Master's & above,4,32.0,2.0,NO,69.0,NO
Sales & Marketing,2,Master's & above,1,42.0,5.0,NO,50.0,NO
Sales & Marketing,2,Bachelor's,1,21.0,3.0,NO,51.0,NO
Operations,20,Bachelor's,1,29.0,3.0,NO,57.0,NO
Operations,31,Bachelor's,1,32.0,4.0,NO,55.0,NO
Operations,11,Bachelor's,1,28.0,5.0,NO,57.0,NO
Sales & Marketing,26,Bachelor's,1,40.0,2.0,NO,50.0,NO
Analytics,22,Bachelor's,2,28.0,5.0,NO,86.0,NO
